Date,Open,High,Low,Close,Adj Close,Volume
2019-02-07,507.5,508.75,495.0,496.25,496.25,50210
2019-02-08,496.5,500.5,492.5,494.25,494.25,48094
2019-02-11,493.25,495.5,487.5,493.75,493.75,48297
2019-02-12,492.75,495.0,488.25,492.0,492.0,41369
2019-02-13,491.5,495.25,490.0,494.0,494.0,34998
2019-02-14,492.25,494.5,481.25,481.5,481.5,28536
2019-02-15,483.25,484.75,472.0,476.5,476.5,35386
2019-02-19,472.75,478.5,460.0,460.75,460.75,32573
2019-02-20,463.25,465.25,449.5,450.0,450.0,32339
2019-02-21,450.25,461.75,450.25,455.25,455.25,24715
2019-02-22,456.25,462.25,455.0,458.5,458.5,30427
2019-02-25,460.0,462.75,441.5,442.25,442.25,40210
2019-02-26,442.75,444.5,432.0,435.75,435.75,31630
2019-02-27,433.25,444.0,433.25,438.75,438.75,17376
2019-02-28,442.0,444.75,439.5,441.0,441.0,1589
2019-03-01,444.75,445.75,436.0,440.75,440.75,570
2019-03-04,443.0,444.5,434.25,434.25,434.25,114
2019-03-05,448.25,448.5,444.0,444.0,444.0,15
2019-03-06,437.5,437.5,431.25,431.25,431.25,3
2019-03-07,436.25,436.25,419.0,420.25,420.25,17
2019-03-08,429.0,433.5,424.75,424.75,424.75,7
2019-03-11,414.25,414.25,414.25,414.25,414.25,0
2019-03-12,435.75,435.75,435.75,435.75,435.75,0
2019-03-13,423.0,441.25,423.0,429.75,429.75,12
2019-03-14,429.75,429.75,429.75,429.75,429.75,29569
2019-03-15,436.75,444.5,433.0,443.0,443.0,25892
2019-03-18,443.5,444.5,433.5,436.5,436.5,30628
2019-03-19,439.0,443.25,433.5,435.75,435.75,23690
2019-03-20,436.75,444.75,436.0,444.0,444.0,26620
2019-03-21,444.0,448.25,439.25,447.0,447.0,21193
2019-03-22,446.0,452.0,443.25,445.0,445.0,24264
2019-03-25,445.25,451.5,441.5,449.25,449.25,22254
2019-03-26,449.5,454.0,442.25,443.25,443.25,24905
2019-03-27,443.0,446.0,441.0,444.5,444.5,24282
2019-03-28,444.5,444.5,435.75,438.75,438.75,15801
2019-03-29,438.0,441.0,427.25,430.0,430.0,35215
2019-04-01,431.0,438.25,427.0,434.5,434.5,29346
2019-04-02,435.5,437.25,422.75,433.25,433.25,31870
2019-04-03,431.75,438.75,430.75,436.75,436.75,23747
2019-04-04,437.0,443.5,434.25,439.5,439.5,31936
2019-04-05,438.5,438.5,430.0,431.25,431.25,35512
2019-04-08,430.5,435.25,427.75,431.5,431.5,30364
2019-04-09,428.0,430.5,422.0,427.5,427.5,37405
2019-04-10,426.75,430.0,424.5,426.25,426.25,40466
2019-04-11,425.0,433.25,424.5,430.5,430.5,39041
2019-04-12,432.25,435.25,428.75,434.25,434.25,22807
2019-04-15,434.25,434.75,426.5,427.25,427.25,24842
2019-04-16,427.0,428.25,414.25,417.0,417.0,27744
